generation,id,fitness,species,parent1,parent2,timestep
162,43345,1.195,2,42856,42928,322
163,43345,1.195,2,42856,42928,322
164,43345,1.195,2,42856,42928,322
165,43345,1.195,2,42856,42928,322
166,43345,1.195,2,42856,42928,322
167,43345,1.195,2,42856,42928,322
168,43345,1.195,2,42856,42928,322
169,43345,1.195,2,42856,42928,322
170,43345,1.195,2,42856,42928,322
171,43345,1.195,2,42856,42928,322
172,43345,1.195,2,42856,42928,322
173,43345,1.195,2,42856,42928,322
174,43345,1.195,2,42856,42928,322
175,43345,1.195,2,42856,42928,322
176,43345,1.195,2,42856,42928,322
177,43345,1.195,2,42856,42928,322
178,43345,1.195,2,42856,42928,322
179,87710,1.195,4,87212,87181,322
180,87710,1.195,4,87212,87181,322
181,87710,1.195,4,87212,87181,322
182,87710,1.195,4,87212,87181,322
183,87710,1.195,4,87212,87181,322
184,87710,1.195,4,87212,87181,322
185,87710,1.195,4,87212,87181,322
186,87710,1.195,4,87212,87181,322
187,91077,1.195,4,90559,87710,322
188,87710,1.195,4,87212,87181,322
189,43345,1.195,2,42856,42928,322
190,43345,1.195,2,42856,42928,322
191,43345,1.195,2,42856,42928,322
192,43345,1.195,2,42856,42928,322
193,43345,1.195,2,42856,42928,322
194,43345,1.195,2,42856,42928,322
195,43345,1.195,2,42856,42928,322
196,18066,1.195,1,17597,17112,322
197,18066,1.195,1,17597,17112,322
198,18066,1.195,1,17597,17112,322
199,18066,1.195,1,17597,17112,322
200,18066,1.195,1,17597,17112,322
201,18066,1.195,1,17597,17112,322
202,18066,1.195,1,17597,17112,322
203,18066,1.195,1,17597,17112,322
204,18066,1.195,1,17597,17112,322
205,18066,1.195,1,17597,17112,322
206,18066,1.195,1,17597,17112,322
207,18066,1.195,1,17597,17112,322
208,18066,1.195,1,17597,17112,322
209,18066,1.195,1,17597,17112,322
210,18066,1.195,1,17597,17112,322
211,18066,1.195,1,17597,17112,322
212,18066,1.195,1,17597,17112,322
213,18066,1.195,1,17597,17112,322
214,18066,1.195,1,17597,17112,322
215,18066,1.195,1,17597,17112,322
216,18066,1.195,1,17597,17112,322
217,106530,1.1975,1,105989,93221,321
218,106530,1.1975,1,105989,93221,321
219,106530,1.1975,1,105989,93221,321
220,106530,1.1975,1,105989,93221,321
221,106530,1.1975,1,105989,93221,321
222,106530,1.1975,1,105989,93221,321
223,106530,1.1975,1,105989,93221,321
