generation,id,fitness,species,parent1,parent2
0,1,0.055446,1,-1,-1
0,2,0.072681,2,-1,-1
0,3,0.000719,1,-1,-1
0,4,0.038428,1,-1,-1
0,5,0.010084,3,-1,-1
0,6,0.025462,4,-1,-1
0,7,-0.573561,3,-1,-1
0,8,0.002529,3,-1,-1
0,9,0.057931,3,-1,-1
0,10,0.105575,4,-1,-1
1,1,0.055446,1,-1,-1
1,4,0.038428,1,-1,-1
1,9,0.057931,3,-1,-1
1,5,0.010084,3,-1,-1
1,11,0.031742,5,9,9
1,2,0.072681,2,-1,-1
1,12,-0.008048,2,2,2
1,10,0.105575,4,-1,-1
1,6,0.025462,4,-1,-1
1,13,0.01669,4,10,10
2,11,0.031742,5,9,9
2,14,0.005407,5,11,11
2,1,0.055446,1,-1,-1
2,4,0.038428,5,-1,-1
2,15,0.085371,1,1,4
2,9,0.057931,5,-1,-1
2,5,0.010084,3,-1,-1
2,2,0.072681,2,-1,-1
2,12,-0.008048,2,2,2
2,10,0.105575,4,-1,-1
2,6,0.025462,4,-1,-1
3,5,0.010084,3,-1,-1
3,16,0.076152,3,5,5
3,9,0.057931,5,-1,-1
3,4,0.038428,5,-1,-1
3,2,0.072681,2,-1,-1
3,12,-0.008048,2,2,2
3,15,0.085371,1,1,4
3,1,0.055446,1,-1,-1
3,10,0.105575,4,-1,-1
3,6,0.025462,4,-1,-1
4,9,0.057931,5,-1,-1
4,4,0.038428,5,-1,-1
4,2,0.072681,2,-1,-1
4,12,-0.008048,2,2,2
4,16,0.076152,3,5,5
4,5,0.010084,3,-1,-1
4,15,0.085371,1,1,4
4,1,0.055446,1,-1,-1
4,10,0.105575,4,-1,-1
4,6,0.025462,4,-1,-1
5,9,0.057931,5,-1,-1
5,4,0.038428,5,-1,-1
5,2,0.072681,2,-1,-1
5,12,-0.008048,2,2,2
5,16,0.076152,3,5,5
5,5,0.010084,3,-1,-1
5,15,0.085371,1,1,4
5,1,0.055446,1,-1,-1
5,10,0.105575,4,-1,-1
5,6,0.025462,4,-1,-1
6,9,0.057931,5,-1,-1
6,4,0.038428,5,-1,-1
6,2,0.072681,2,-1,-1
6,12,-0.008048,2,2,2
6,16,0.076152,3,5,5
6,5,0.010084,3,-1,-1
6,15,0.085371,1,1,4
6,1,0.055446,1,-1,-1
6,10,0.105575,4,-1,-1
6,6,0.025462,4,-1,-1
7,9,0.057931,5,-1,-1
7,4,0.038428,5,-1,-1
7,2,0.072681,2,-1,-1
7,12,-0.008048,2,2,2
7,16,0.076152,3,5,5
7,5,0.010084,3,-1,-1
7,15,0.085371,1,1,4
7,1,0.055446,1,-1,-1
7,10,0.105575,4,-1,-1
7,6,0.025462,4,-1,-1
8,9,0.057931,5,-1,-1
8,4,0.038428,5,-1,-1
8,2,0.072681,2,-1,-1
8,12,-0.008048,2,2,2
8,16,0.076152,3,5,5
