generation,id,fitness,species,parent1,parent2
0,10,0.105575,4,-1,-1
1,10,0.105575,4,-1,-1
2,10,0.105575,4,-1,-1
3,10,0.105575,4,-1,-1
4,10,0.105575,4,-1,-1
5,10,0.105575,4,-1,-1
6,10,0.105575,4,-1,-1
7,10,0.105575,4,-1,-1
8,10,0.105575,4,-1,-1
9,10,0.105575,4,-1,-1
10,10,0.105575,4,-1,-1
11,10,0.105575,4,-1,-1
12,10,0.105575,4,-1,-1
13,10,0.105575,4,-1,-1
14,10,0.105575,4,-1,-1
15,10,0.105575,4,-1,-1
16,10,0.105575,4,-1,-1
17,10,0.105575,4,-1,-1
18,10,0.105575,4,-1,-1
19,10,0.105575,4,-1,-1
20,10,0.105575,4,-1,-1
21,10,0.105575,4,-1,-1
22,10,0.105575,4,-1,-1
23,10,0.105575,4,-1,-1
24,10,0.105575,4,-1,-1
25,10,0.105575,4,-1,-1
26,10,0.105575,4,-1,-1
27,10,0.105575,4,-1,-1
28,10,0.105575,4,-1,-1
29,10,0.105575,4,-1,-1
30,10,0.105575,4,-1,-1
31,10,0.105575,4,-1,-1
32,10,0.105575,4,-1,-1
33,10,0.105575,4,-1,-1
34,10,0.105575,4,-1,-1
35,10,0.105575,4,-1,-1
36,10,0.105575,4,-1,-1
37,10,0.105575,4,-1,-1
38,10,0.105575,4,-1,-1
39,10,0.105575,4,-1,-1
40,10,0.105575,4,-1,-1
41,10,0.105575,4,-1,-1
42,10,0.105575,4,-1,-1
43,10,0.105575,4,-1,-1
44,10,0.105575,4,-1,-1
45,10,0.105575,4,-1,-1
46,10,0.105575,4,-1,-1
47,10,0.105575,4,-1,-1
48,10,0.105575,4,-1,-1
49,10,0.105575,4,-1,-1
50,10,0.105575,4,-1,-1
51,10,0.105575,4,-1,-1
52,10,0.105575,4,-1,-1
53,10,0.105575,4,-1,-1
54,10,0.105575,4,-1,-1
55,10,0.105575,4,-1,-1
56,10,0.105575,4,-1,-1
57,10,0.105575,4,-1,-1
58,10,0.105575,4,-1,-1
59,10,0.105575,4,-1,-1
60,10,0.105575,4,-1,-1
61,10,0.105575,4,-1,-1
62,10,0.105575,4,-1,-1
63,10,0.105575,4,-1,-1
64,10,0.105575,4,-1,-1
65,10,0.105575,4,-1,-1
66,10,0.105575,4,-1,-1
67,10,0.105575,4,-1,-1
68,10,0.105575,4,-1,-1
69,10,0.105575,4,-1,-1
70,10,0.105575,4,-1,-1
71,10,0.105575,4,-1,-1
72,10,0.105575,4,-1,-1
73,10,0.105575,4,-1,-1
74,10,0.105575,4,-1,-1
75,10,0.105575,4,-1,-1
76,10,0.105575,4,-1,-1
77,10,0.105575,4,-1,-1
78,10,0.105575,4,-1,-1
79,10,0.105575,4,-1,-1
80,10,0.105575,4,-1,-1
81,10,0.105575,4,-1,-1
82,10,0.105575,4,-1,-1
83,10,0.105575,4,-1,-1
84,10,0.105575,4,-1,-1
85,10,0.105575,4,-1,-1
86,10,0.105575,4,-1,-1
87,10,0.105575,4,-1,-1
88,10,0.105575,4,-1,-1
89,10,0.105575,4,-1,-1
90,10,0.105575,4,-1,-1
91,10,0.105575,4,-1,-1
92,10,0.105575,4,-1,-1
93,10,0.105575,4,-1,-1
94,10,0.105575,4,-1,-1
95,10,0.105575,4,-1,-1
96,10,0.105575,4,-1,-1
97,10,0.105575,4,-1,-1
98,10,0.105575,4,-1,-1
99,10,0.105575,4,-1,-1
100,10,0.105575,4,-1,-1
101,10,0.105575,4,-1,-1
102,10,0.105575,4,-1,-1
103,23,0.365314,3,5,16
104,23,0.365314,3,5,16
105,23,0.365314,3,5,16
106,39,0.963015,4,24,28
107,39,0.963015,4,24,28
108,39,0.963015,4,24,28
109,39,0.963015,4,24,28
110,39,0.963015,4,24,28
111,39,0.963015,4,24,28
112,39,0.963015,4,24,28
113,39,0.963015,4,24,28
114,39,0.963015,4,24,28
115,98,0.972454,4,39,39
116,98,0.972454,4,39,39
117,107,1.104075,3,23,23
118,107,1.104075,3,23,23
119,107,1.104075,3,23,23
120,126,1.17942,3,107,120
121,126,1.17942,3,107,120
122,126,1.17942,3,107,120
123,126,1.17942,3,107,120
124,126,1.17942,3,107,120
125,126,1.17942,3,107,120
126,126,1.17942,3,107,120
127,126,1.17942,3,107,120
128,126,1.17942,3,107,120
129,181,1.201347,3,173,173
130,187,1.207805,3,181,126
131,190,2.029083,3,187,187
132,190,2.029083,3,187,187
133,190,2.029083,3,187,187
134,190,2.029083,3,187,187
135,190,2.029083,3,187,187
136,190,2.029083,3,187,187
137,190,2.029083,3,187,187
138,190,2.029083,3,187,187
139,190,2.029083,3,187,187
140,190,2.029083,3,187,187
141,190,2.029083,3,187,187
142,190,2.029083,3,187,187
143,190,2.029083,3,187,187
144,190,2.029083,3,187,187
145,190,2.029083,3,187,187
146,190,2.029083,3,187,187
147,190,2.029083,3,187,187
148,190,2.029083,3,187,187
149,190,2.029083,3,187,187
150,190,2.029083,3,187,187
151,190,2.029083,3,187,187
152,190,2.029083,3,187,187
153,190,2.029083,3,187,187
154,190,2.029083,3,187,187
155,190,2.029083,3,187,187
156,190,2.029083,3,187,187
157,190,2.029083,3,187,187
158,190,2.029083,3,187,187
159,190,2.029083,3,187,187
160,190,2.029083,3,187,187
161,190,2.029083,3,187,187
162,190,2.029083,3,187,187
163,190,2.029083,3,187,187
164,190,2.029083,3,187,187
165,190,2.029083,3,187,187
166,190,2.029083,3,187,187
167,190,2.029083,3,187,187
168,190,2.029083,3,187,187
169,190,2.029083,3,187,187
170,190,2.029083,3,187,187
171,190,2.029083,3,187,187
172,190,2.029083,3,187,187
173,190,2.029083,3,187,187
174,190,2.029083,3,187,187
175,190,2.029083,3,187,187
176,190,2.029083,3,187,187
177,190,2.029083,3,187,187
178,190,2.029083,3,187,187
179,190,2.029083,3,187,187
180,190,2.029083,3,187,187
181,190,2.029083,3,187,187
182,190,2.029083,3,187,187
183,190,2.029083,3,187,187
184,190,2.029083,3,187,187
185,190,2.029083,3,187,187
186,190,2.029083,3,187,187
187,190,2.029083,3,187,187
188,190,2.029083,3,187,187
189,190,2.029083,3,187,187
190,190,2.029083,3,187,187
191,190,2.029083,3,187,187
192,190,2.029083,3,187,187
193,190,2.029083,3,187,187
194,190,2.029083,3,187,187
195,190,2.029083,3,187,187
196,190,2.029083,3,187,187
197,190,2.029083,3,187,187
198,190,2.029083,3,187,187
199,190,2.029083,3,187,187
200,190,2.029083,3,187,187
201,190,2.029083,3,187,187
202,190,2.029083,3,187,187
203,190,2.029083,3,187,187
204,190,2.029083,3,187,187
205,190,2.029083,3,187,187
206,190,2.029083,3,187,187
207,190,2.029083,3,187,187
208,190,2.029083,3,187,187
209,190,2.029083,3,187,187
210,190,2.029083,3,187,187
211,190,2.029083,3,187,187
212,190,2.029083,3,187,187
213,190,2.029083,3,187,187
214,190,2.029083,3,187,187
215,190,2.029083,3,187,187
216,190,2.029083,3,187,187
217,190,2.029083,3,187,187
218,190,2.029083,3,187,187
219,190,2.029083,3,187,187
220,190,2.029083,3,187,187
221,733,2.703421,3,359,359
222,733,2.703421,3,359,359
223,733,2.703421,3,359,359
224,733,2.703421,3,359,359
