generation,id,fitness,species,parent1,parent2
0,1,0.20040070908398985,1,-1,-1
0,2,0.2536355649036757,1,-1,-1
0,3,0.20040070908398985,1,-1,-1
0,4,0.2536373292960941,1,-1,-1
0,5,0.20040070908398985,1,-1,-1
0,6,0.20040070908398985,1,-1,-1
0,7,0.20040070908398985,1,-1,-1
0,8,0.20040070908398985,1,-1,-1
0,9,0.20040070908398985,1,-1,-1
0,10,0.18787381572263526,1,-1,-1
0,11,0.2003500637379665,1,-1,-1
0,12,0.2689888667453088,2,-1,-1
0,13,0.005259465590230283,1,-1,-1
0,14,0.10052585245451591,1,-1,-1
0,15,0.2502453942407287,1,-1,-1
0,16,0.2447333220320251,1,-1,-1
0,17,0.20040070908398985,1,-1,-1
0,18,-0.026394954358890815,1,-1,-1
0,19,0.20040070908398985,1,-1,-1
0,20,0.18018838907600707,2,-1,-1
0,21,0.13198812671259902,2,-1,-1
0,22,-0.07038036218778487,1,-1,-1
0,23,-0.044011211872875614,1,-1,-1
0,24,0.21034161363863665,1,-1,-1
0,25,0.3468455483236065,1,-1,-1
0,26,0.20040070908398985,1,-1,-1
0,27,0.5502087906720318,2,-1,-1
0,28,0.2003976329753352,1,-1,-1
0,29,0.20040070908398985,1,-1,-1
0,30,0.14809097076111374,1,-1,-1
0,31,0.20040070908398985,1,-1,-1
0,32,0.20040070908398985,1,-1,-1
0,33,0.20040070908398985,1,-1,-1
0,34,0.20040070908398985,1,-1,-1
0,35,0.16604268472674846,1,-1,-1
0,36,-0.06384613018158036,1,-1,-1
0,37,-0.04492591985203472,2,-1,-1
0,38,0.20040070908398985,1,-1,-1
0,39,-0.024440711394618172,1,-1,-1
0,40,0.09751286683122388,1,-1,-1
0,41,0.20040070908398985,1,-1,-1
0,42,0.20040070908398985,1,-1,-1
0,43,0.20040070908398985,1,-1,-1
0,44,0.16382837509345202,1,-1,-1
0,45,0.20039684668810112,1,-1,-1
0,46,-0.01302437991750331,2,-1,-1
0,47,-0.05725299261878222,1,-1,-1
0,48,0.2536691331138652,1,-1,-1
0,49,-0.05245007859115626,1,-1,-1
0,50,0.29964758740651753,2,-1,-1
0,51,0.3746563939319315,2,-1,-1
0,52,0.20040070813883867,2,-1,-1
0,53,-0.02679578059074874,1,-1,-1
0,54,0.20040070908398985,1,-1,-1
0,55,0.20040070908398985,2,-1,-1
0,56,0.20040070908398985,1,-1,-1
0,57,-0.05881549720086438,1,-1,-1
0,58,-0.02889841853979722,1,-1,-1
0,59,0.20040070908398985,1,-1,-1
0,60,-0.014228509049422047,1,-1,-1
0,61,-0.0038569457331789824,1,-1,-1
0,62,-0.0684180611394568,1,-1,-1
0,63,0.1692714212367589,1,-1,-1
0,64,0.20040070908398985,1,-1,-1
0,65,0.20040070908398985,2,-1,-1
0,66,0.16823002651794566,1,-1,-1
0,67,-0.024917402643533117,1,-1,-1
0,68,0.25366915218519925,1,-1,-1
0,69,0.20039997121148512,3,-1,-1
0,70,0.20040070908398985,1,-1,-1
0,71,-0.00604657325280847,2,-1,-1
0,72,0.21417169906247913,1,-1,-1
0,73,0.20040070908398985,1,-1,-1
0,74,0.20040070908398985,1,-1,-1
0,75,0.09059470907755549,1,-1,-1
0,76,0.20040070908398985,1,-1,-1
0,77,0.21778073496171443,1,-1,-1
0,78,0.20040070908398985,1,-1,-1
0,79,0.2575966380390793,3,-1,-1
0,80,0.20040070908398985,1,-1,-1
0,81,0.19205292334099622,1,-1,-1
0,82,0.20040070908398985,1,-1,-1
0,83,0.20040070908398985,2,-1,-1
0,84,0.24455320358156393,2,-1,-1
0,85,0.20040070908398985,4,-1,-1
0,86,-0.06123993392708234,2,-1,-1
0,87,0.20040070908398985,1,-1,-1
0,88,0.20040070908398985,1,-1,-1
0,89,0.20040069069562486,4,-1,-1
0,90,-0.0038928203193536225,1,-1,-1
0,91,0.18223950108477724,1,-1,-1
0,92,0.17568766318735904,4,-1,-1
0,93,0.03236842068321661,4,-1,-1
0,94,0.1510445612665829,1,-1,-1
0,95,0.25366912940552905,2,-1,-1
0,96,0.1565983072265499,1,-1,-1
0,97,0.20040070908398985,3,-1,-1
0,98,0.20040070908398985,3,-1,-1
0,99,0.20040070908398985,1,-1,-1
0,100,0.025265618726845712,1,-1,-1
0,101,0.20040070908398985,3,-1,-1
0,102,0.05400234003895143,2,-1,-1
0,103,-0.03872855661455129,1,-1,-1
0,104,0.20040070908398985,1,-1,-1
0,105,0.20040070908398985,1,-1,-1
0,106,-0.025130321798674558,4,-1,-1
0,107,0.2604540819935051,4,-1,-1
0,108,0.24537772953370252,1,-1,-1
0,109,0.20040070908398985,1,-1,-1
0,110,0.005155299761807992,1,-1,-1
0,111,0.20040070908398985,4,-1,-1
0,112,-0.03186783429360528,1,-1,-1
0,113,0.08982557981978709,4,-1,-1
0,114,-0.04866385388868839,3,-1,-1
0,115,-0.06162777590805507,1,-1,-1
0,116,0.5051755935748262,1,-1,-1
0,117,-0.02891918305102227,1,-1,-1
