generation,id,fitness,species,parent1,parent2
179,10109,4.899207,9,8550,8550
180,10109,4.899207,9,8550,8550
181,10109,4.899207,9,8550,8550
182,10109,4.899207,9,8550,8550
183,10109,4.899207,9,8550,8550
184,10109,4.899207,9,8550,8550
185,10109,4.899207,9,8550,8550
186,10109,4.899207,9,8550,8550
187,10109,4.899207,9,8550,8550
188,10109,4.899207,9,8550,8550
189,10109,4.899207,9,8550,8550
190,10109,4.899207,9,8550,8550
191,10109,4.899207,9,8550,8550
192,10109,4.899207,9,8550,8550
193,10109,4.899207,9,8550,8550
194,10109,4.899207,9,8550,8550
195,10109,4.899207,9,8550,8550
196,10109,4.899207,9,8550,8550
197,10109,4.899207,9,8550,8550
198,10109,4.899207,9,8550,8550
199,10109,4.899207,9,8550,8550
200,10109,4.899207,9,8550,8550
201,10109,4.899207,9,8550,8550
202,10109,4.899207,9,8550,8550
203,10109,4.899207,9,8550,8550
204,10109,4.899207,9,8550,8550
205,10109,4.899207,9,8550,8550
206,10109,4.899207,9,8550,8550
207,10109,4.899207,9,8550,8550
208,10109,4.899207,9,8550,8550
209,10109,4.899207,9,8550,8550
210,10109,4.899207,9,8550,8550
211,10109,4.899207,9,8550,8550
212,10109,4.899207,9,8550,8550
213,10109,4.899207,9,8550,8550
214,10109,4.899207,9,8550,8550
215,10109,4.899207,9,8550,8550
216,10109,4.899207,9,8550,8550
217,10109,4.899207,9,8550,8550
218,10109,4.899207,9,8550,8550
219,10109,4.899207,9,8550,8550
220,10109,4.899207,9,8550,8550
221,10109,4.899207,9,8550,8550
222,10109,4.899207,9,8550,8550
223,18607,4.953263,9,10109,10109
224,18607,4.953263,9,10109,10109
225,18607,4.953263,9,10109,10109
226,18607,4.953263,9,10109,10109
227,18607,4.953263,9,10109,10109
228,18607,4.953263,9,10109,10109
229,18607,4.953263,9,10109,10109
230,18607,4.953263,9,10109,10109
231,18607,4.953263,9,10109,10109
232,18607,4.953263,9,10109,10109
233,18607,4.953263,9,10109,10109
234,18607,4.953263,9,10109,10109
235,18607,4.953263,9,10109,10109
236,18607,4.953263,9,10109,10109
237,18607,4.953263,9,10109,10109
238,18607,4.953263,9,10109,10109
239,18607,4.953263,9,10109,10109
240,18607,4.953263,9,10109,10109
241,18607,4.953263,9,10109,10109
242,18607,4.953263,9,10109,10109
243,18607,4.953263,9,10109,10109
244,18607,4.953263,9,10109,10109
245,18607,4.953263,9,10109,10109
246,18607,4.953263,9,10109,10109
247,18607,4.953263,9,10109,10109
248,18607,4.953263,9,10109,10109
249,18607,4.953263,9,10109,10109
250,18607,4.953263,9,10109,10109
251,18607,4.953263,9,10109,10109
252,18607,4.953263,9,10109,10109
253,18607,4.953263,9,10109,10109
254,21270,5.049123,9,18607,20072
255,21270,5.049123,9,18607,20072
256,21270,5.049123,9,18607,20072
257,21270,5.049123,9,18607,20072
258,21270,5.049123,9,18607,20072
259,21270,5.049123,9,18607,20072
260,21270,5.049123,9,18607,20072
261,21270,5.049123,9,18607,20072
262,21270,5.049123,9,18607,20072
263,21270,5.049123,9,18607,20072
264,21270,5.049123,9,18607,20072
265,21270,5.049123,9,18607,20072
266,21270,5.049123,9,18607,20072
267,21270,5.049123,9,18607,20072
268,21270,5.049123,9,18607,20072
269,21270,5.049123,9,18607,20072
270,21270,5.049123,9,18607,20072
271,21270,5.049123,9,18607,20072
272,21270,5.049123,9,18607,20072
273,21270,5.049123,9,18607,20072
274,21270,5.049123,9,18607,20072
275,21270,5.049123,9,18607,20072
276,21270,5.049123,9,18607,20072
277,21270,5.049123,9,18607,20072
278,21270,5.049123,9,18607,20072
279,21270,5.049123,9,18607,20072
280,21270,5.049123,9,18607,20072
281,21270,5.049123,9,18607,20072
282,21270,5.049123,9,18607,20072
283,21270,5.049123,9,18607,20072
284,21270,5.049123,9,18607,20072
285,21270,5.049123,9,18607,20072
286,21270,5.049123,9,18607,20072
287,21270,5.049123,9,18607,20072
288,21270,5.049123,9,18607,20072
289,21270,5.049123,9,18607,20072
290,21270,5.049123,9,18607,20072
291,21270,5.049123,9,18607,20072
292,21270,5.049123,9,18607,20072
293,21270,5.049123,9,18607,20072
294,21270,5.049123,9,18607,20072
295,21270,5.049123,9,18607,20072
296,21270,5.049123,9,18607,20072
297,21270,5.049123,9,18607,20072
298,21270,5.049123,9,18607,20072
299,21270,5.049123,9,18607,20072
300,21270,5.049123,9,18607,20072
301,21270,5.049123,9,18607,20072
302,21270,5.049123,9,18607,20072
303,21270,5.049123,9,18607,20072
304,21270,5.049123,9,18607,20072
305,21270,5.049123,9,18607,20072
306,21270,5.049123,9,18607,20072
307,21270,5.049123,9,18607,20072
308,21270,5.049123,9,18607,20072
309,21270,5.049123,9,18607,20072
310,21270,5.049123,9,18607,20072
311,21270,5.049123,9,18607,20072
312,21270,5.049123,9,18607,20072
313,21270,5.049123,9,18607,20072
314,21270,5.049123,9,18607,20072
315,21270,5.049123,9,18607,20072
316,21270,5.049123,9,18607,20072
317,21270,5.049123,9,18607,20072
318,21270,5.049123,9,18607,20072
319,21270,5.049123,9,18607,20072
320,21270,5.049123,9,18607,20072
321,21270,5.049123,9,18607,20072
322,21270,5.049123,9,18607,20072
323,21270,5.049123,9,18607,20072
324,21270,5.049123,9,18607,20072
325,21270,5.049123,9,18607,20072
326,21270,5.049123,9,18607,20072
327,21270,5.049123,9,18607,20072
328,21270,5.049123,9,18607,20072
329,21270,5.049123,9,18607,20072
330,21270,5.049123,9,18607,20072
331,21270,5.049123,9,18607,20072
332,21270,5.049123,9,18607,20072
333,21270,5.049123,9,18607,20072
334,21270,5.049123,9,18607,20072
335,21270,5.049123,9,18607,20072
336,21270,5.049123,9,18607,20072
337,21270,5.049123,9,18607,20072
338,21270,5.049123,9,18607,20072
339,21270,5.049123,9,18607,20072
340,21270,5.049123,9,18607,20072
341,21270,5.049123,9,18607,20072
342,21270,5.049123,9,18607,20072
343,21270,5.049123,9,18607,20072
344,21270,5.049123,9,18607,20072
345,21270,5.049123,9,18607,20072
346,21270,5.049123,9,18607,20072
347,21270,5.049123,9,18607,20072
348,21270,5.049123,9,18607,20072
349,21270,5.049123,9,18607,20072
350,21270,5.049123,9,18607,20072
351,21270,5.049123,9,18607,20072
352,21270,5.049123,9,18607,20072
353,21270,5.049123,9,18607,20072
354,21270,5.049123,9,18607,20072
355,21270,5.049123,9,18607,20072
356,21270,5.049123,9,18607,20072
357,21270,5.049123,9,18607,20072
358,21270,5.049123,9,18607,20072
359,21270,5.049123,9,18607,20072
360,21270,5.049123,9,18607,20072
361,21270,5.049123,9,18607,20072
362,21270,5.049123,9,18607,20072
363,21270,5.049123,9,18607,20072
364,21270,5.049123,9,18607,20072
365,21270,5.049123,9,18607,20072
366,21270,5.049123,9,18607,20072
367,21270,5.049123,9,18607,20072
368,21270,5.049123,9,18607,20072
369,21270,5.049123,9,18607,20072
370,21270,5.049123,9,18607,20072
371,21270,5.049123,9,18607,20072
372,21270,5.049123,9,18607,20072
373,21270,5.049123,9,18607,20072
374,21270,5.049123,9,18607,20072
375,21270,5.049123,9,18607,20072
376,21270,5.049123,9,18607,20072
377,21270,5.049123,9,18607,20072
378,21270,5.049123,9,18607,20072
379,21270,5.049123,9,18607,20072
380,21270,5.049123,9,18607,20072
381,21270,5.049123,9,18607,20072
382,21270,5.049123,9,18607,20072
383,21270,5.049123,9,18607,20072
384,21270,5.049123,9,18607,20072
385,21270,5.049123,9,18607,20072
386,21270,5.049123,9,18607,20072
387,21270,5.049123,9,18607,20072
388,21270,5.049123,9,18607,20072
389,21270,5.049123,9,18607,20072
390,21270,5.049123,9,18607,20072
391,21270,5.049123,9,18607,20072
392,21270,5.049123,9,18607,20072
393,21270,5.049123,9,18607,20072
394,21270,5.049123,9,18607,20072
395,21270,5.049123,9,18607,20072
396,21270,5.049123,9,18607,20072
397,21270,5.049123,9,18607,20072
398,21270,5.049123,9,18607,20072
399,21270,5.049123,9,18607,20072
400,21270,5.049123,9,18607,20072
401,21270,5.049123,9,18607,20072
402,21270,5.049123,9,18607,20072
403,21270,5.049123,9,18607,20072
404,21270,5.049123,9,18607,20072
405,21270,5.049123,9,18607,20072
406,21270,5.049123,9,18607,20072
407,21270,5.049123,9,18607,20072
408,21270,5.049123,9,18607,20072
409,21270,5.049123,9,18607,20072
410,21270,5.049123,9,18607,20072
411,21270,5.049123,9,18607,20072
412,21270,5.049123,9,18607,20072
413,21270,5.049123,9,18607,20072
414,21270,5.049123,9,18607,20072
415,21270,5.049123,9,18607,20072
416,21270,5.049123,9,18607,20072
417,21270,5.049123,9,18607,20072
418,21270,5.049123,9,18607,20072
419,21270,5.049123,9,18607,20072
420,21270,5.049123,9,18607,20072
421,21270,5.049123,9,18607,20072
422,21270,5.049123,9,18607,20072
423,21270,5.049123,9,18607,20072
424,21270,5.049123,9,18607,20072
425,21270,5.049123,9,18607,20072
426,21270,5.049123,9,18607,20072
427,21270,5.049123,9,18607,20072
428,21270,5.049123,9,18607,20072
429,21270,5.049123,9,18607,20072
430,21270,5.049123,9,18607,20072
431,21270,5.049123,9,18607,20072
432,21270,5.049123,9,18607,20072
433,21270,5.049123,9,18607,20072
434,21270,5.049123,9,18607,20072
435,21270,5.049123,9,18607,20072
436,21270,5.049123,9,18607,20072
437,21270,5.049123,9,18607,20072
438,21270,5.049123,9,18607,20072
439,21270,5.049123,9,18607,20072
440,21270,5.049123,9,18607,20072
441,38569,5.073966,9,34654,34654
442,38662,5.091676,9,34654,21270
443,38662,5.091676,9,34654,21270
444,38884,5.128934,9,38756,38569
445,38884,5.128934,9,38756,38569
446,38884,5.128934,9,38756,38569
447,38884,5.128934,9,38756,38569
448,38884,5.128934,9,38756,38569
449,38884,5.128934,9,38756,38569
450,38884,5.128934,9,38756,38569
451,38884,5.128934,9,38756,38569
452,38884,5.128934,9,38756,38569
453,38884,5.128934,9,38756,38569
454,38884,5.128934,9,38756,38569
455,38884,5.128934,9,38756,38569
456,38884,5.128934,9,38756,38569
457,38884,5.128934,9,38756,38569
458,38884,5.128934,9,38756,38569
459,38884,5.128934,9,38756,38569
460,38884,5.128934,9,38756,38569
461,38884,5.128934,9,38756,38569
462,38884,5.128934,9,38756,38569
463,38884,5.128934,9,38756,38569
464,38884,5.128934,9,38756,38569
465,38884,5.128934,9,38756,38569
466,38884,5.128934,9,38756,38569
467,38884,5.128934,9,38756,38569
468,38884,5.128934,9,38756,38569
469,38884,5.128934,9,38756,38569
470,38884,5.128934,9,38756,38569
471,38884,5.128934,9,38756,38569
472,38884,5.128934,9,38756,38569
473,38884,5.128934,9,38756,38569
474,38884,5.128934,9,38756,38569
475,38884,5.128934,9,38756,38569
476,38884,5.128934,9,38756,38569
477,38884,5.128934,9,38756,38569
478,38884,5.128934,9,38756,38569
479,38884,5.128934,9,38756,38569
480,38884,5.128934,9,38756,38569
481,38884,5.128934,9,38756,38569
482,38884,5.128934,9,38756,38569
483,38884,5.128934,9,38756,38569
484,38884,5.128934,9,38756,38569
485,38884,5.128934,9,38756,38569
486,38884,5.128934,9,38756,38569
487,38884,5.128934,9,38756,38569
488,38884,5.128934,9,38756,38569
489,38884,5.128934,9,38756,38569
490,38884,5.128934,9,38756,38569
491,43295,5.157963,9,42668,43200
492,43295,5.157963,9,42668,43200
493,43295,5.157963,9,42668,43200
494,43295,5.157963,9,42668,43200
495,43295,5.157963,9,42668,43200
496,43295,5.157963,9,42668,43200
497,43295,5.157963,9,42668,43200
498,43295,5.157963,9,42668,43200
499,43295,5.157963,9,42668,43200
