generation,id,fitness,species,parent1,parent2,timestep
49,198,-0.124612,1,196,196,
49,199,1.661653,1,194,196,
49,200,1.618392,1,196,196,
50,201,0.162322,1,199,199,
50,202,1.401614,1,200,199,
50,203,0.107293,1,200,200,
50,204,1.703588,1,199,200,
51,205,1.741966,1,204,204,
51,206,1.693948,1,202,204,
51,207,1.290153,1,202,202,
51,208,0.029414,1,204,202,
52,209,1.008812,1,205,205,
52,210,1.678692,1,206,206,
52,211,0.152557,1,206,205,
52,212,1.488702,1,205,205,
53,213,1.71063,1,210,210,
53,214,1.587168,1,210,210,
53,215,1.57508,1,212,210,
53,216,1.464399,1,210,210,
54,217,1.490983,1,214,214,
54,218,1.646148,1,213,214,
54,219,0.047236,1,214,214,
54,220,0.168413,1,214,213,
55,221,1.383336,1,217,217,
55,222,1.426019,1,217,217,
55,223,0.033666,1,217,217,
55,224,1.193028,1,218,218,
56,225,1.611387,1,222,221,
56,226,1.3734,1,221,221,
56,227,1.497843,1,222,222,
56,228,1.380274,1,222,221,
57,229,1.606267,1,227,225,
57,230,1.541071,1,225,225,
57,231,1.587845,1,227,227,
57,232,1.488124,1,227,225,
58,233,1.618609,1,231,229,
58,234,1.674232,1,229,229,
58,235,1.41094,1,231,229,
58,236,1.376517,1,229,231,
59,237,1.594841,1,233,233,
59,238,0.336468,1,234,234,
59,239,1.392102,1,233,233,
59,240,1.495213,1,233,234,
60,241,1.405452,1,240,240,
60,242,1.438546,1,237,237,
60,243,1.389255,1,237,240,
60,244,1.387961,1,237,237,
61,245,1.386258,1,241,241,
61,246,1.47166,1,242,241,
61,247,1.348431,1,242,241,
61,248,1.35193,1,242,241,
62,249,0.0,1,246,246,
62,250,1.39885,1,245,246,
62,251,1.38449,1,245,245,
62,252,1.374303,1,246,245,
63,253,1.39397,1,250,251,
63,254,0.188176,1,250,251,
63,255,1.386373,1,251,250,
63,256,1.36313,1,250,251,
64,257,1.355805,1,253,255,
64,258,0.0,1,255,255,
64,259,1.310503,1,255,255,
64,260,1.390203,1,253,253,
65,261,1.395576,1,260,260,
65,262,1.58989,1,260,257,
65,263,1.716814,1,257,257,
65,264,1.393437,1,257,257,
66,265,0.12945,1,262,262,
66,266,0.140502,1,263,262,
66,267,1.511646,1,263,263,
66,268,1.740733,1,263,262,
67,269,1.521075,1,267,268,
67,270,1.360512,1,267,268,
67,271,1.342303,1,267,267,
67,272,1.372533,1,268,267,
68,273,1.39754,1,272,272,
68,274,1.307132,1,272,269,
68,275,0.348482,1,269,269,
68,276,1.49432,1,269,269,
69,277,1.393047,1,273,276,
69,278,1.391353,1,273,276,
69,279,1.384649,1,276,273,
69,280,1.262457,1,276,276,
70,281,1.330416,1,278,277,
70,282,1.384429,1,278,277,
70,283,1.444498,1,278,277,
70,284,0.0,1,278,278,
71,285,1.368414,1,283,282,
71,286,1.400425,1,282,283,
71,287,1.382917,1,283,283,
71,288,1.405275,1,283,282,
72,289,3.480211,1,286,286,
72,290,1.394072,1,288,286,
72,291,1.564801,1,286,288,
72,292,1.390244,1,288,288,
73,293,1.587546,1,289,289,
73,294,0.028234,1,291,289,
73,295,1.352283,1,289,291,
73,296,0.023793,1,289,289,
74,297,1.404522,1,295,293,
74,298,1.249198,1,293,293,
74,299,0.29206,1,295,293,
74,300,1.379328,1,295,295,
75,301,-0.090735,1,297,297,
75,302,-0.050634,1,297,297,
75,303,0.16729,1,297,297,
75,304,1.355202,1,300,300,
76,305,1.723997,1,304,304,
76,306,1.355238,1,303,304,
76,307,1.269725,1,304,303,
76,308,1.386177,1,303,303,
77,309,1.499349,1,305,308,
77,310,0.336435,1,305,305,
77,311,1.518098,1,308,305,
77,312,1.343896,1,308,308,
78,313,1.746125,1,309,309,
78,314,0.251769,1,309,309,
78,315,0.244003,1,309,309,
78,316,0.438029,1,309,311,
79,317,1.754723,1,316,316,
79,318,0.007188,1,313,313,
79,319,1.538349,1,316,316,
79,320,1.372558,1,313,313,
80,321,1.465292,1,319,317,
80,322,0.200235,1,317,317,
80,323,1.681606,1,319,317,
80,324,1.317286,1,319,317,
81,325,0.214702,1,321,321,
81,326,1.458064,1,321,323,
81,327,1.335071,1,323,323,
81,328,1.39359,1,323,323,
82,329,1.470361,1,326,326,
82,330,1.36614,1,328,328,
82,331,1.399134,1,328,328,
82,332,1.36622,1,326,328,
83,333,1.37778,1,329,331,
83,334,0.182198,1,331,331,
83,335,-0.025198,1,329,329,
83,336,1.506652,1,329,331,
84,337,1.341104,1,333,333,
84,338,0.767285,1,333,336,
84,339,0.960808,1,333,333,
84,340,1.304677,1,336,336,
85,341,2.281136,1,340,337,
85,342,-0.147281,1,340,340,
85,343,-0.034198,1,337,340,
85,344,1.38485,1,337,340,
86,345,1.017763,1,344,344,
86,346,1.347403,1,341,344,
86,347,1.336847,1,344,341,
86,348,-0.025702,1,344,341,
87,349,1.619107,1,347,347,
87,350,1.424984,1,346,347,
87,351,1.302144,1,346,346,
87,352,1.236686,1,346,346,
88,353,-0.14549,1,350,350,
88,354,0.140587,1,350,349,
88,355,-0.045879,1,350,350,
88,356,1.272145,1,350,350,
89,357,1.270385,1,354,356,
89,358,-0.102377,1,356,356,
89,359,1.276585,1,354,354,
89,360,-0.092584,1,356,354,
90,361,0.276547,1,357,357,
90,362,0.110112,1,357,359,
90,363,1.333528,1,359,359,
90,364,-0.121633,1,357,359,
91,365,1.374221,1,363,361,
91,366,1.362964,1,361,363,
91,367,-0.006754,1,361,361,
91,368,1.427425,1,361,363,
92,369,0.045767,1,365,368,
92,370,-0.021382,1,365,368,
92,371,1.370905,1,368,365,
92,372,1.573838,1,368,368,
93,373,1.782707,1,371,372,
93,374,1.673476,1,371,372,
93,375,1.671786,1,372,371,
93,376,1.436184,1,372,372,
94,377,1.651223,1,373,374,
94,378,1.649144,1,374,373,
94,379,1.417549,1,374,374,
94,380,1.399291,1,373,374,
95,381,1.411276,1,378,378,
95,382,1.465124,1,377,378,
95,383,1.366977,1,378,378,
95,384,1.390992,1,378,377,
96,385,1.683862,1,381,381,
96,386,1.36176,1,381,381,
96,387,0.0,1,382,382,
96,388,1.723093,1,381,381,
97,389,1.668286,1,385,385,
97,390,1.739052,1,388,385,
97,391,1.407031,1,388,385,
97,392,1.590846,1,388,385,
98,393,1.729732,1,390,390,
98,394,1.421901,1,390,389,
98,395,1.737852,1,390,389,
98,396,1.582123,1,389,389,
99,397,1.435757,1,393,393,
99,398,1.524617,1,393,393,
99,399,1.344238,1,395,395,
99,400,1.412953,1,395,393,
