generation,id,novelty,score,species,parent1,parent2
0,367,74.94711156480547,0.7539581335545679,1,-1,-1
1,857,36.205781658416456,0.26291693604900923,4,417,417
2,1423,34.440712465314014,0.2461030584973318,4,857,610
3,1959,36.463385847446446,0.15828007608809788,4,1423,1426
4,2428,34.32686369311993,0.08541537386983035,4,1886,1959
5,2428,30.355201013018505,0.08541537386983035,1,1886,1959
6,3239,32.879452226323245,0.011753541446183314,4,2921,2853
7,3239,32.18104825079011,0.011753541446183314,4,2921,2853
8,3397,29.635041555607643,0.35133386495258695,4,2428,1888
9,4712,72.24402091825554,0.5553818829484976,3,4252,4399
10,4712,68.89238540946002,0.5553818829484976,3,4252,4399
11,4712,66.22371046571915,0.5553818829484976,4,4252,4399
12,4712,65.72829018298818,0.5553818829484976,4,4252,4399
13,4712,67.47265835699119,0.5553818829484976,4,4252,4399
14,4712,65.59800546283691,0.5553818829484976,4,4252,4399
15,4712,67.86717327675173,0.5553818829484976,4,4252,4399
16,4712,65.46887675032906,0.5553818829484976,4,4252,4399
17,4712,66.17451916823322,0.5553818829484976,4,4252,4399
18,4712,65.4934882157812,0.5553818829484976,4,4252,4399
19,4712,65.50246502451192,0.5553818829484976,4,4252,4399
20,4712,70.85572635092451,0.5553818829484976,4,4252,4399
21,10791,146.8689126185571,0.1802779427020124,4,10232,10267
22,10791,137.2169073862703,0.1802779427020124,4,10232,10267
23,10791,142.4229531871384,0.1802779427020124,4,10232,10267
24,10791,143.1485980429419,0.1802779427020124,4,10232,10267
25,10791,142.06942907382157,0.1802779427020124,4,10232,10267
26,10791,141.5410475435368,0.1802779427020124,4,10232,10267
27,10791,128.89253742026668,0.1802779427020124,4,10232,10267
28,10791,130.78122673401836,0.1802779427020124,4,10232,10267
29,10791,125.98033435275367,0.1802779427020124,4,10232,10267
30,10791,130.92840569662422,0.1802779427020124,4,10232,10267
31,10791,127.50296976171279,0.1802779427020124,4,10232,10267
32,10791,128.7101976387335,0.1802779427020124,4,10232,10267
33,10791,129.6725203221078,0.1802779427020124,4,10232,10267
34,10791,122.28986340956547,0.1802779427020124,4,10232,10267
35,10791,120.14412349474568,0.1802779427020124,4,10232,10267
36,18082,106.8799587809001,0.02980569574607087,4,13662,17607
37,18082,103.5247325465402,0.02980569574607087,4,13662,17607
38,18082,105.82981892416255,0.02980569574607087,4,13662,17607
39,18082,114.4487724167005,0.02980569574607087,4,13662,17607
40,18082,113.65849916099263,0.02980569574607087,4,13662,17607
41,18082,101.75332484458741,0.02980569574607087,4,13662,17607
42,18082,98.09277401181076,0.02980569574607087,4,13662,17607
43,18082,101.96766092484953,0.02980569574607087,4,13662,17607
44,21949,115.48209944166886,0.027317683849200598,4,21485,21512
45,21949,94.23715534934314,0.027317683849200598,4,21485,21512
46,21949,99.01856736410785,0.027317683849200598,4,21485,21512
47,21949,98.2193140311776,0.027317683849200598,1,21485,21512
48,21949,75.79410107218791,0.027317683849200598,1,21485,21512
49,21949,59.69598781430229,0.027317683849200598,1,21485,21512
50,21949,67.60355183184535,0.027317683849200598,1,21485,21512
